mapping-key,mapping-value
pierwszy,0
jeden,0
drugi,1
dwa,1
trzeci,2
trzy,2
ostatni,-1
końcowy,-1
czwarty,3
piąty,4
pierwszego,0
drugiego,1
trzeciego,2
czwartego,3
piątego,4
5,4
2,1
1,0
3,2
4,3
